"EHI_number","sample_code","species","region","sample_type","order","sex","country","latitude","longitude","singlem_fraction","reads_post_fastp","host_reads","reads_lost_fastp_percent","metagenomic_bases","host_bases","bases_lost_fastp_percent","diversity","C","Transect","Sampling_point","Elevation","World_cover_2021_code","World_cover_2021_class","World_cover_2021_quality","Copernicus_cover_2018_code","Copernicus_cover_2018_class","Copernicus_water_2018_code","Copernicus_water_2018_class","Copernicus_tree_cover_2018_code","Copernicus_tree_cover_2018_class","Copernicus_Imperviousness_2018_code","Copernicus_Imperviousness_2018_class","Copernicus_grassland_2018_code","Copernicus_grassland_2018_class","Copernicus_forest_type_2018_code","Copernicus_forest_type_2018_class","Copernicus_dominant_leaf_type_2018_code","Copernicus_dominant_leaf_type_2018_class","Precipitation","Tmin","Tmax","Predicted_Elevation"
"EHI00178","ABI38E1L2I1","Podarcis muralis","Aragon","Faecal","Squamata","Male","Spain",42.7889,-0.597015,0.5081,27712494,296194,0.022853715572004,3967239799,45338274,0.0567730316852276,18.96787279,0.869303966,"Aisa","Dolmen",1850,30,"Grassland",61,31,"Bare_rocks",1,"Permanent water",1,"1% tree-cover density",NA,"Non-impervious areas",0,"Outside area",1,"Broadleaved_forest",1,"Broadleaved trees",51.09999847,7,21,1769.99999999995
"EHI00097","ABK46E1L1I1","Podarcis muralis","Aragon","Faecal","Squamata","Male","Spain",42.775299,-0.593873,0.5921,29412092,2639232,0.053846127,3771419701,366551383,0.11257420495969,18.41187606,0.8894739,"Aisa","Bifurcation",1650,30,"Grassland",65,31,"Bare_rocks",1,"Permanent water",1,"1% tree-cover density",NA,"Non-impervious areas",240,"Non built-up",1,"Broadleaved_forest",1,"Broadleaved trees",51.09999847,7,21,1769.99999999995
"EHI00116","ABK44E1L1I1","Podarcis muralis","Aragon","Faecal","Squamata","Male","Spain",42.775299,-0.593873,0.5749,38696942,265906,0.0382934109890346,5583046169,39596686,0.068430665,17.76133021,0.966352372,"Aisa","Bifurcation",1650,30,"Grassland",65,31,"Bare_rocks",1,"Permanent water",1,"1% tree-cover density",NA,"Non-impervious areas",0,"Outside area",1,"Broadleaved_forest",1,"Broadleaved trees",51.09999847,7,21,1769.99999999995
"EHI00137","ABK41E1L1I1","Podarcis muralis","Aragon","Faecal","Squamata","Male","Spain",42.775299,-0.593873,0.5617,26162788,1667778,0.0343254803128216,3518590147,250489910,0.072549257,18.78774755,0.878580133,"Aisa","Bifurcation",1650,30,"Grassland",65,31,"Bare_rocks",1,"Permanent water",1,"1% tree-cover density",NA,"Non-impervious areas",0,"Outside area",NA,"Outside area",3,"Outside area",51.09999847,7,21,1769.99999999995
"EHI00138","ABK48E1L1I1","Podarcis muralis","Aragon","Faecal","Squamata","Male","Spain",42.775299,-0.593873,0.5829,25052364,1181530,0.033251841,3440545379,179238573,0.068771987,18.69593154,0.874128357,"Aisa","Bifurcation",1650,30,"Grassland",65,31,"Bare_rocks",1,"Permanent water",1,"1% tree-cover density",NA,"Non-impervious areas",0,"Outside area",1,"Broadleaved_forest",1,"Broadleaved trees",51.09999847,7,21,1769.99999999995
"EHI00072","ABK12E1L1I1","Podarcis muralis","Aragon","Faecal","Squamata","Male","Spain",42.7373,-0.589984,0.6098,35265772,527460,0.0282948075514761,4993871498,78319449,0.068279902,18.95712563,0.860509873,"Aisa","Cleta",1450,30,"Grassland",65,25,"Mixed_forest",1,"Permanent water",1,"1% tree-cover density",NA,"Non-impervious areas",240,"Non built-up",1,"Broadleaved_forest",1,"Broadleaved trees",41.79999924,9,23,1450
"EHI00075","ABK18E1L1I1","Podarcis muralis","Aragon","Faecal","Squamata","Male","Spain",42.7373,-0.589984,0.6037,26811026,2898518,0.0342214721705411,3449546649,444390387,0.064891989,18.87743386,0.844809592,"Aisa","Cleta",1450,30,"Grassland",65,25,"Mixed_forest",1,"Permanent water",1,"1% tree-cover density",NA,"Non-impervious areas",0,"Outside area",1,"Broadleaved_forest",1,"Broadleaved trees",41.79999924,9,23,1450
"EHI00111","ABK03E1L1I1","Podarcis muralis","Aragon","Faecal","Squamata","Male","Spain",42.7373,-0.589984,0.5834,34281934,1028132,0.042001612,4776539546,151954279,0.081831431,19.04545794,0.863503959,"Aisa","Cleta",1450,30,"Grassland",65,25,"Mixed_forest",1,"Permanent water",1,"1% tree-cover density",NA,"Non-impervious areas",0,"Outside area",1,"Broadleaved_forest",1,"Broadleaved trees",41.79999924,9,23,1450
"EHI00112","ABK20E1L1I1","Podarcis muralis","Aragon","Faecal","Squamata","Male","Spain",42.7373,-0.589984,0.5735,34527894,608948,0.071592016,4779888880,85183185,0.127898977708388,19.10077433,0.844883889,"Aisa","Cleta",1450,30,"Grassland",65,25,"Mixed_forest",1,"Permanent water",1,"1% tree-cover density",NA,"Non-impervious areas",240,"Non built-up",1,"Broadleaved_forest",1,"Broadleaved trees",41.79999924,9,23,1450
"EHI00120","ABK16E1L1I1","Podarcis muralis","Aragon","Faecal","Squamata","Male","Spain",42.7373,-0.589984,0.7008,31455122,333028,0.043878031,4528812896,51038023,0.071927284,18.6455106,0.891701042,"Aisa","Cleta",1450,30,"Grassland",65,25,"Mixed_forest",1,"Permanent water",1,"1% tree-cover density",NA,"Non-impervious areas",240,"Non built-up",1,"Broadleaved_forest",1,"Broadleaved trees",41.79999924,9,23,1450
