Longitude,Latitude,World_cover_2021_code,World_cover_2021_class,World_cover_2021_quality,Copernicus_cover_2018_code,Copernicus_cover_2018_class,Copernicus_water_2018_code,Copernicus_water_2018_class,Copernicus_tree_cover_2018_code,Copernicus_tree_cover_2018_class,Copernicus_Imperviousness_2018_code,Copernicus_Imperviousness_2018_class,,Copernicus_grassland_2018_code,Copernicus_grassland_2018_class,Copernicus_forest_type_2018_code,Copernicus_forest_type_2018_class,Copernicus_dominant_leaf_type_2018_code,Copernicus_dominant_leaf_type_2018_class
-0.597015,42.7889,30,Grassland,61,31,Bare_rocks,1,Permanent water,1,1% tree-cover density,NA,Non-impervious areas,,240,Non built-up,1,Broadleaved_forest,1,Broadleaved trees
0.752807,42.55591,30,Grassland,126,18,Pastures,1,Permanent water,1,1% tree-cover density,NA,Non-impervious areas,,0,Outside area,1,Broadleaved_forest,1,Broadleaved trees
-0.606746,42.71173,10,Tree_cover,91,24,Coriferous_forest,1,Permanent water,72,72% tree-cover density,NA,Non-impervious areas,,240,Non built-up,NA,Outside area,3,Outside area
0.752807,42.55591,30,Grassland,126,18,Pastures,1,Permanent water,1,1% tree-cover density,NA,Non-impervious areas,,0,Outside area,1,Broadleaved_forest,1,Broadleaved trees
0.763111,42.5981,30,Grassland,126,26,Natural_grassland,1,Permanent water,1,1% tree-cover density,NA,Non-impervious areas,,0,Outside area,1,Broadleaved_forest,1,Broadleaved trees
-0.597015,42.7889,30,Grassland,61,31,Bare_rocks,1,Permanent water,1,1% tree-cover density,NA,Non-impervious areas,,240,Non built-up,1,Broadleaved_forest,1,Broadleaved trees
0.14248,42.91491,30,Grassland,94,26,Natural_grassland,1,Permanent water,1,1% tree-cover density,NA,Non-impervious areas,,0,Outside area,1,Broadleaved_forest,1,Broadleaved trees
0.12692,42.91811,30,Grassland,94,32,Sparsely vegetated areas,1,Permanent water,1,1% tree-cover density,NA,Non-impervious areas,,0,Outside area,1,Broadleaved_forest,1,Broadleaved trees
0.18892,42.92098,30,Grassland,90,26,Natural_grassland,1,Permanent water,1,1% tree-cover density,NA,Non-impervious areas,,0,Outside area,1,Broadleaved_forest,1,Broadleaved trees
0.91661,42.82317,10,Tree_cover,93,23,Broad-leaved_forest,1,Permanent water,74,74% tree-cover density,NA,Non-impervious areas,,0,Outside area,2,Coniferous_forest,2,Coniferous trees
0.16218,42.90711,30,Grassland,94,2,Discontinous_urban_fabric,1,Permanent water,1,1% tree-cover density,NA,Non-impervious areas,,0,Outside area,1,Broadleaved_forest,1,Broadleaved trees
0.14248,42.91491,30,Grassland,94,26,Natural_grassland,1,Permanent water,1,1% tree-cover density,NA,Non-impervious areas,,0,Outside area,1,Broadleaved_forest,1,Broadleaved trees
0.93699,42.83628,10,Tree_cover,93,18,Pastures,1,Permanent water,1,1% tree-cover density,NA,Non-impervious areas,,0,Outside area,1,Broadleaved_forest,1,Broadleaved trees
0.16218,42.90711,30,Grassland,94,2,Discontinous_urban_fabric,1,Permanent water,1,1% tree-cover density,NA,Non-impervious areas,,0,Outside area,1,Broadleaved_forest,1,Broadleaved trees
0.91256,42.82719,10,Tree_cover,123,23,Broad-leaved_forest,1,Permanent water,1,1% tree-cover density,NA,Non-impervious areas,,0,Outside area,1,Broadleaved_forest,1,Broadleaved trees
0.12692,42.91811,30,Grassland,94,32,Sparsely vegetated areas,1,Permanent water,1,1% tree-cover density,NA,Non-impervious areas,,0,Outside area,1,Broadleaved_forest,1,Broadleaved trees
0.13036,42.91595,30,Grassland,93,26,Natural_grassland,1,Permanent water,1,1% tree-cover density,NA,Non-impervious areas,,0,Outside area,1,Broadleaved_forest,1,Broadleaved trees
0.90279,42.82674,30,Grassland,126,32,Sparsely vegetated areas,1,Permanent water,1,1% tree-cover density,NA,Non-impervious areas,,0,Outside area,1,Broadleaved_forest,1,Broadleaved trees
0.25002,42.96319,10,Tree_cover,94,18,Pastures,1,Permanent water,1,1% tree-cover density,23,23% imperviousness,,0,Outside area,1,Broadleaved_forest,1,Broadleaved trees
0.18892,42.92098,30,Grassland,90,26,Natural_grassland,1,Permanent water,1,1% tree-cover density,NA,Non-impervious areas,,0,Outside area,1,Broadleaved_forest,1,Broadleaved trees
0.90279,42.82674,30,Grassland,126,32,Sparsely vegetated areas,1,Permanent water,1,1% tree-cover density,NA,Non-impervious areas,,0,Outside area,1,Broadleaved_forest,1,Broadleaved trees
0.25002,42.96319,10,Tree_cover,94,18,Pastures,1,Permanent water,1,1% tree-cover density,23,23% imperviousness,,0,Outside area,1,Broadleaved_forest,1,Broadleaved trees
0.91256,42.82719,10,Tree_cover,123,23,Broad-leaved_forest,1,Permanent water,1,1% tree-cover density,NA,Non-impervious areas,,0,Outside area,1,Broadleaved_forest,1,Broadleaved trees
0.91256,42.82719,10,Tree_cover,123,23,Broad-leaved_forest,1,Permanent water,1,1% tree-cover density,NA,Non-impervious areas,,0,Outside area,1,Broadleaved_forest,1,Broadleaved trees
0.93699,42.83628,10,Tree_cover,93,18,Pastures,1,Permanent water,1,1% tree-cover density,NA,Non-impervious areas,,0,Outside area,1,Broadleaved_forest,1,Broadleaved trees
0.12692,42.91811,30,Grassland,94,32,Sparsely vegetated areas,1,Permanent water,1,1% tree-cover density,NA,Non-impervious areas,,0,Outside area,1,Broadleaved_forest,1,Broadleaved trees
0.19928,42.92734,30,Grassland,94,23,Broad-leaved_forest,1,Permanent water,1,1% tree-cover density,NA,Non-impervious areas,,0,Outside area,1,Broadleaved_forest,1,Broadleaved trees
0.25002,42.96319,10,Tree_cover,94,18,Pastures,1,Permanent water,1,1% tree-cover density,23,23% imperviousness,,0,Outside area,1,Broadleaved_forest,1,Broadleaved trees
0.91661,42.82317,10,Tree_cover,93,23,Broad-leaved_forest,1,Permanent water,74,74% tree-cover density,NA,Non-impervious areas,,0,Outside area,2,Coniferous_forest,2,Coniferous trees
0.91661,42.82317,10,Tree_cover,93,23,Broad-leaved_forest,1,Permanent water,74,74% tree-cover density,NA,Non-impervious areas,,0,Outside area,2,Coniferous_forest,2,Coniferous trees
0.93699,42.83628,10,Tree_cover,93,18,Pastures,1,Permanent water,1,1% tree-cover density,NA,Non-impervious areas,,0,Outside area,1,Broadleaved_forest,1,Broadleaved trees
0.19928,42.92734,30,Grassland,94,23,Broad-leaved_forest,1,Permanent water,1,1% tree-cover density,NA,Non-impervious areas,,0,Outside area,1,Broadleaved_forest,1,Broadleaved trees
0.91256,42.82719,10,Tree_cover,123,23,Broad-leaved_forest,1,Permanent water,1,1% tree-cover density,NA,Non-impervious areas,,0,Outside area,1,Broadleaved_forest,1,Broadleaved trees
0.14248,42.91491,30,Grassland,94,26,Natural_grassland,1,Permanent water,1,1% tree-cover density,NA,Non-impervious areas,,0,Outside area,1,Broadleaved_forest,1,Broadleaved trees
